sampleid,perwt,ftotinc,incwage,inctot,sex,age,educ,eduyears,degfield,hoursworked,raceethnicity,married,nchild,nchlt5,famsize,occtype,indtype,inschool,movedlastyear,hadchildlastyear,marriedlastyear,divorcedlastyear,disability,head,spouse,ownershp,homeowner,healthins,nocoverage,commutingtime,foreignborn,citizenship,region,statefip,metrohomeplace,metropop,metroba18pc
8835,140,27000,27000,27000,male,26,grade 12,12,n/a,40,nhwhite,0,0,0,1,manufandinstallation,construction,1,0,0,0,0,0,0,0,rented,0,no coverage,1,45,0,1,mountain division,nevada,1,2204079,22.321007
8836,32,115000,40000,40000,female,56,grade 12,12,n/a,40,nhwhite,1,0,0,2,salesandservicesandfood,retailtrade,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,45,0,1,east north central div,michigan,0,,
8837,94,63000,45000,45000,male,62,grade 12,12,n/a,50,nhwhite,1,0,0,2,transportation,wholesaletrade,0,0,0,0,0,1,0,1,owned or being bought (loan),1,public/employer,0,60,0,1,pacific division,oregon,0,,
8839,243,60000,60000,60000,male,45,4 years of college,16,cosmetology services and culinary arts,40,nhblack,0,0,0,1,salesandservicesandfood,hospitality,0,0,0,0,0,0,1,0,rented,0,public/employer,0,40,0,1,pacific division,california,1,13353907,31.398245
8840,88,62000,62000,62000,female,41,5+ years of college,18,education administration and teaching,45,nhwhite,0,1,0,2,businessfinance,education,1,0,0,0,0,0,1,0,rented,0,public/employer,0,20,0,1,pacific division,california,1,13353907,31.398245
8841,34,265000,125000,125000,male,40,1 year of college,13,n/a,40,nhwhite,1,1,1,3,csmathengineering,retailtrade,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,60,0,1,pacific division,california,1,13353907,31.398245
8842,74,75000,35000,35000,male,32,2 years of college,14,n/a,40,nhblack,1,2,2,4,military,military,0,0,0,0,0,0,1,0,rented,0,public/employer,0,10,0,1,pacific division,california,1,445458,24.477264
8844,109,100000,70000,70000,male,38,5+ years of college,18,criminal justice and fire protection,50,nhwhite,1,2,0,4,social,otherservices,1,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,20,0,1,west south central div,texas,1,7400479,31.686863
8845,94,24000,24000,24000,male,28,grade 12,12,n/a,40,nhwhite,0,2,1,4,salesandservicesandfood,retailtrade,0,1,0,0,0,0,1,0,rented,0,public/employer,0,20,0,1,south atlantic division,north carolina,0,,
8846,46,22000,22000,22000,female,32,1 year of college,13,n/a,40,nhblack,0,2,0,3,office,finance,0,0,0,0,0,0,1,0,rented,0,public/employer,0,35,0,1,east south central div,mississippi,0,,
8848,101,115000,115000,115000,male,34,4 years of college,16,transportation sciences and technologies,40,nhwhite,1,3,2,5,transportation,transportation,0,1,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,20,0,1,west south central div,texas,1,6892427,29.590622
8852,61,120000,120000,120000,female,37,5+ years of college,18,social sciences,50,nhblack,0,0,0,1,protection,public,0,1,0,0,0,0,1,0,rented,0,public/employer,0,90,0,1,south atlantic division,maryland,1,2808175,36.65374
8854,85,107100,29000,35000,female,34,2 years of college,14,n/a,40,nhwhite,0,1,0,4,health,health,0,0,0,0,0,0,0,0,owned or being bought (loan),1,public/employer,0,45,0,1,south atlantic division,north carolina,1,2525305,32.911201
8856,11,76600,30000,30000,male,61,grade 12,12,n/a,40,nhwhite,1,0,0,2,construction,construction,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,10,0,1,east south central div,alabama,0,,
8858,105,38000,38000,38000,female,63,1 year of college,13,n/a,40,nhwhite,0,0,0,1,businessfinance,public,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,10,0,1,west south central div,texas,1,2115827,40.612038
8859,50,170000,70000,70000,male,62,"grade 5, 6, 7, or 8",7.5,n/a,40,hispanic,1,1,0,5,construction,construction,0,0,0,0,0,0,1,0,owned or being bought (loan),1,individual only,0,15,1,1,pacific division,california,1,13353907,31.398245
8861,18,75000,50000,55000,male,58,1 year of college,13,n/a,45,nhwhite,1,0,0,2,businessfinance,manufacture,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,25,0,1,west north central div,iowa,0,,
8862,14,252000,53000,53000,female,40,grade 12,12,n/a,45,nhwhite,1,4,0,6,salesandservicesandfood,retailtrade,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,10,0,1,west north central div,iowa,0,,
8863,91,107900,90000,95000,male,63,4 years of college,16,engineering,40,nhwhite,1,0,0,2,csmathengineering,manufacture,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,30,0,1,mountain division,utah,1,1203105,32.006603
8869,219,116000,40000,40000,female,56,grade 12,12,n/a,40,nhasian,1,2,0,4,salesandservicesandfood,otherservices,0,0,0,0,0,0,1,0,rented,0,individual only,0,30,1,0,middle atlantic division,new jersey,1,20320876,37.242645
8870,136,55000,55000,55000,male,31,4 years of college,16,fine arts,40,nhwhite,0,0,0,2,health,health,0,1,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,10,0,1,east north central div,illinois,0,,
8871,135,23000,23000,23000,male,39,grade 12,12,n/a,40,nhwhite,0,1,0,2,office,manufacture,0,0,0,0,0,0,1,0,rented,0,public/employer,0,30,0,1,east north central div,indiana,0,,
8872,569,268000,220000,221000,male,52,1 year of college,13,n/a,50,nhother,1,1,0,3,transportation,transportation,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,0,0,1,pacific division,alaska,0,,
8878,84,214600,32000,32000,male,35,1 year of college,13,n/a,37,nhblack,0,0,0,4,csmathengineering,finance,0,0,0,0,0,0,0,0,owned or being bought (loan),1,public/employer,0,25,0,1,middle atlantic division,new york,1,20320876,37.242645
8879,106,65100,45000,45000,female,60,5+ years of college,18,engineering,40,nhwhite,1,0,0,2,office,manufacture,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,20,1,0,south atlantic division,north carolina,1,366534,16.693434
8881,40,43000,43000,43000,male,31,grade 12,12,n/a,50,nhother,0,0,0,1,manufandinstallation,construction,0,1,0,0,0,0,0,0,rented,0,public/employer,0,10,0,1,west north central div,missouri,0,,
8884,159,44000,44000,44000,male,48,grade 9,9,n/a,40,hispanic,0,0,0,2,manufandinstallation,otherservices,0,0,0,0,0,0,1,0,rented,0,no coverage,1,15,1,0,south atlantic division,florida,1,3091399,28.138767
8885,304,66500,30000,30000,female,54,grade 12,12,n/a,45,nhwhite,1,0,0,2,businessfinance,hospitality,0,0,0,0,0,0,0,1,rented,0,public/employer,0,14,0,1,middle atlantic division,new york,1,886188,34.473579
8886,181,116000,116000,116000,male,40,4 years of college,16,computer and information sciences,40,nhasian,0,0,0,1,csmathengineering,information,0,0,0,0,0,0,1,0,rented,0,public/employer,0,17,1,0,south atlantic division,georgia,1,5882450,34.712471
8890,287,41000,41000,41000,male,43,4 years of college,16,engineering,40,hispanic,0,0,0,2,construction,construction,0,0,0,0,0,0,1,0,rented,0,no coverage,1,25,1,0,south atlantic division,florida,1,6158824,29.833658
8891,13,120000,40000,40000,female,61,4 years of college,16,fine arts,40,nhwhite,1,0,0,2,salesandservicesandfood,retailtrade,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,15,0,1,pacific division,washington,1,266414,29.973549
8892,85,55000,40000,40000,female,37,4 years of college,16,criminal justice and fire protection,40,nhblack,1,2,0,4,office,retailtrade,0,1,0,0,0,0,1,0,rented,0,public/employer,0,5,0,1,mountain division,arizona,1,4737270,28.396246
8893,206,135000,135000,135000,male,55,grade 12,12,n/a,50,nhwhite,1,0,0,2,businessfinance,construction,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,30,0,1,mountain division,nevada,1,2204079,22.321007
8894,35,127150,86000,86900,female,61,5+ years of college,18,linguistics and foreign languages,50,nhwhite,1,0,0,2,educationlibrary,education,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,15,0,1,west north central div,minnesota,0,,
8895,108,220000,150000,150000,male,54,1 year of college,13,n/a,40,nhwhite,1,0,0,2,businessfinance,manufacture,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,20,0,1,south atlantic division,florida,1,372880,35.120735
8901,359,25000,25000,25000,male,41,grade 12,12,n/a,50,nhwhite,0,1,0,3,transportation,retailtrade,0,0,0,0,1,0,1,0,owned or being bought (loan),1,public/employer,0,30,0,1,south atlantic division,north carolina,1,366534,16.693434
8904,32,40000,40000,40000,male,36,5+ years of college,18,computer and information sciences,40,nhwhite,0,0,0,1,science,professional,0,1,0,0,0,0,1,0,rented,0,public/employer,0,20,0,1,middle atlantic division,new york,1,20320876,37.242645
8906,62,197000,72000,72000,male,60,grade 12,12,n/a,40,nhwhite,1,2,0,4,businessfinance,public,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,20,0,1,mountain division,arizona,1,4737270,28.396246
8909,180,69000,69000,69000,male,51,5+ years of college,18,education administration and teaching,50,nhwhite,0,0,0,1,educationlibrary,education,0,0,0,0,0,0,1,0,rented,0,public/employer,0,15,0,1,east north central div,wisconsin,1,1576236,32.979988
8910,35,122000,30000,30000,female,58,grade 12,12,n/a,40,nhwhite,1,1,0,3,businessfinance,ruralextraction,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,10,0,1,west south central div,texas,0,,
8914,118,21000,21000,21000,male,45,"grade 5, 6, 7, or 8",5.5,n/a,40,hispanic,0,0,0,1,salesandservicesandfood,hospitality,0,0,0,0,0,0,1,0,rented,0,no coverage,1,25,1,0,south atlantic division,florida,1,6158824,29.833658
8916,47,119600,33500,33500,female,43,1 year of college,13,n/a,38,nhwhite,1,2,0,4,health,health,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,20,0,1,middle atlantic division,pennsylvania,0,,
8917,185,161000,78000,78000,female,47,5+ years of college,18,engineering,55,nhwhite,1,1,0,6,businessfinance,information,0,0,0,0,0,0,0,1,rented,0,public/employer,0,25,0,1,east north central div,wisconsin,1,1576236,32.979988
8920,161,31200,31200,31200,female,21,grade 12,12,n/a,40,hispanic,0,1,1,3,construction,public,0,1,1,0,0,0,1,0,rented,0,public/employer,0,0,0,1,east south central div,mississippi,1,394232,21.546396
8921,48,270000,200000,200000,female,49,5+ years of college,18,business,50,nhwhite,1,0,0,2,health,health,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,0,0,1,south atlantic division,georgia,1,5882450,34.712471
8922,70,50000,50000,50000,male,60,grade 12,12,n/a,40,nhwhite,0,0,0,3,manufandinstallation,manufacture,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,25,0,1,pacific division,washington,1,3867046,39.11578
8924,55,71000,60000,60000,male,51,grade 12,12,n/a,40,nhwhite,1,2,0,4,businessfinance,education,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,10,0,1,middle atlantic division,pennsylvania,1,2333367,33.170727
8925,210,193420,25000,25000,male,25,grade 12,12,n/a,40,nhwhite,0,0,0,4,construction,construction,0,1,0,0,0,0,0,0,owned or being bought (loan),1,public/employer,0,45,0,1,mountain division,colorado,1,723878,34.997849
8928,179,102380,25000,25000,male,38,4 years of college,16,psychology,60,nhwhite,0,0,0,5,salesandservicesandfood,retailtrade,0,0,0,0,0,0,0,0,owned or being bought (loan),1,public/employer,0,35,0,1,new england division,massachusetts,1,942475,32.317066
8929,61,30000,25000,25000,female,29,grade 12,12,n/a,40,nhother,0,0,0,2,salesandservicesandfood,wholesaletrade,0,0,0,0,0,0,0,0,rented,0,public/employer,0,25,0,1,pacific division,california,1,13353907,31.398245
8932,74,111000,45000,55000,female,61,1 year of college,13,n/a,40,nhother,1,0,0,2,health,health,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,30,0,1,west south central div,arkansas,0,,
8933,57,22740,22000,22000,female,55,2 years of college,14,n/a,40,nhnative,0,0,0,2,salesandservicesandfood,retailtrade,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,60,0,1,mountain division,utah,0,,
8934,130,193000,143000,143000,female,38,1 year of college,13,n/a,40,nhasian,1,0,0,2,health,health,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,15,1,1,pacific division,california,1,504217,33.075661
8937,80,44000,21000,21000,female,62,"grade 5, 6, 7, or 8",5.5,n/a,40,hispanic,0,2,0,3,salesandservicesandfood,hospitality,0,0,0,0,0,0,1,0,rented,0,public/employer,0,20,1,1,pacific division,california,1,4580670,19.302816
8939,110,79200,72000,72000,female,57,2 years of college,14,n/a,40,nhwhite,0,1,0,3,businessfinance,professional,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,30,0,1,east north central div,ohio,1,2078725,33.109127
8940,17,344100,240000,333100,male,63,grade 12,12,n/a,49,nhwhite,1,1,0,3,transportation,transportation,0,0,0,0,0,0,1,0,owned or being bought (loan),1,individual only,0,15,0,1,mountain division,utah,0,,
8942,207,81000,65000,65000,male,30,2 years of college,14,n/a,44,hispanic,1,0,0,4,office,hospitality,0,0,0,0,0,0,0,0,rented,0,public/employer,0,90,1,0,middle atlantic division,new york,1,20320876,37.242645
8945,41,35000,35000,35000,male,33,grade 12,12,n/a,40,nhwhite,0,0,0,1,transportation,manufacture,0,0,0,0,0,0,0,0,owned or being bought (loan),1,no coverage,1,10,0,1,east north central div,wisconsin,0,,
8946,54,152000,102000,102000,female,43,4 years of college,16,business,50,nhwhite,1,2,0,4,businessfinance,health,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,15,0,1,east north central div,michigan,1,338338,30.634861
8949,114,245000,125000,125000,male,36,5+ years of college,18,physical sciences,37,nhasian,1,2,2,4,science,professional,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,15,1,0,pacific division,california,1,437907,22.297405
8951,154,696000,566000,566000,female,37,4 years of college,16,business,45,nhasian,1,0,0,2,businessfinance,professional,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,30,0,1,new england division,massachusetts,1,4836531,44.245804
8952,69,177420,115000,115020,male,55,4 years of college,16,mathematics and statistics,40,nhwhite,1,0,0,2,csmathengineering,professional,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,35,0,1,new england division,massachusetts,1,4836531,44.245804
8957,40,24000,24000,24000,female,52,2 years of college,14,n/a,40,hispanic,0,0,0,4,salesandservicesandfood,health,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,30,0,1,pacific division,california,1,13353907,31.398245
8958,61,195000,195000,195000,male,29,4 years of college,16,business,55,nhwhite,0,0,0,1,manufandinstallation,retailtrade,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,10,0,1,west south central div,texas,1,7400479,31.686863
8959,140,48500,43700,43700,male,38,1 year of college,13,n/a,40,nhwhite,1,2,1,4,businessfinance,public,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,25,0,1,east north central div,ohio,0,,
8960,85,138000,96000,96000,male,39,5+ years of college,18,physical sciences,60,nhwhite,1,0,0,2,businessfinance,construction,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,10,0,1,mountain division,utah,1,617678,32.607349
8964,109,546000,463000,463000,male,47,5+ years of college,18,business,60,nhwhite,1,0,0,2,businessfinance,professional,0,1,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,20,0,1,west south central div,texas,1,2473974,25.463844
8966,92,463000,463000,463000,male,37,4 years of college,16,business,40,nhwhite,1,2,2,4,businessfinance,finance,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,20,0,1,west south central div,texas,1,7400479,31.686863
8968,465,159000,100000,100000,male,35,4 years of college,16,business,45,nhblack,1,2,1,4,businessfinance,manufacture,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,60,0,1,new england division,connecticut,1,949921,44.085873
8979,76,40000,40000,40000,male,27,1 year of college,13,n/a,40,nhwhite,0,0,0,1,office,manufacture,0,1,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,5,0,1,west north central div,south dakota,0,,
8982,77,34600,20200,20200,female,27,4 years of college,16,business,40,hispanic,1,2,2,4,salesandservicesandfood,hospitality,0,1,0,0,0,0,0,1,rented,0,no coverage,1,10,1,0,pacific division,california,1,893119,14.197259
8985,28,45000,45000,45000,female,27,4 years of college,16,medical and health sciences and services,40,nhwhite,0,0,0,1,health,health,0,0,0,0,0,0,0,0,rented,0,public/employer,0,20,0,1,east north central div,michigan,1,191934,18.41452
8992,34,18400,18400,18400,female,35,grade 10,10,n/a,42,nhwhite,0,2,0,3,health,health,0,0,0,0,0,0,1,0,rented,0,no coverage,1,25,0,1,west north central div,missouri,0,,
8993,251,90000,20000,20000,male,42,grade 12,12,n/a,40,hispanic,0,0,0,3,transportation,wholesaletrade,0,1,0,0,0,0,0,0,rented,0,public/employer,0,25,0,1,pacific division,california,1,1998463,47.724354
8994,231,89500,76000,76000,male,49,grade 12,12,n/a,50,nhwhite,1,1,0,3,manufandinstallation,otherservices,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,30,1,1,east north central div,illinois,1,9533895,35.037014
8995,149,5600,16000,16000,male,37,5+ years of college,18,business,40,hispanic,0,3,0,5,construction,construction,1,0,0,0,0,0,0,0,rented,0,public/employer,0,12,1,0,pacific division,california,1,13353907,31.398245
8996,57,26000,26000,26000,male,28,grade 12,12,n/a,40,hispanic,1,3,2,5,manufandinstallation,construction,0,1,0,0,0,0,0,1,rented,0,public/employer,0,60,0,1,west south central div,texas,0,,
8997,54,18000,18000,18000,female,29,2 years of college,14,n/a,40,nhnative,0,1,0,2,salesandservicesandfood,retailtrade,0,0,0,0,0,0,0,0,rented,0,public/employer,0,5,0,1,mountain division,new mexico,0,,
8998,168,24000,24000,24000,male,26,grade 12,12,n/a,40,nhwhite,0,0,0,2,construction,otherservices,0,0,0,0,0,0,1,0,rented,0,no coverage,1,20,0,1,south atlantic division,florida,1,2509831,29.181835
8999,128,40000,40000,40000,male,49,grade 12,12,n/a,40,hispanic,1,2,0,4,construction,construction,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,40,1,1,west south central div,texas,1,6892427,29.590622
9000,129,156700,6700,6700,female,41,5+ years of college,18,social sciences,40,nhasian,1,2,0,4,businessfinance,professional,0,1,0,0,0,0,0,1,rented,0,public/employer,0,30,1,0,pacific division,california,1,1998463,47.724354
9003,253,88000,40000,40000,male,25,4 years of college,16,fine arts,40,hispanic,1,0,0,2,construction,construction,0,0,0,0,0,0,0,1,rented,0,public/employer,0,60,0,1,pacific division,california,1,2324884,29.756802
9004,85,192000,100000,100000,female,47,4 years of college,16,business,45,nhwhite,1,2,0,4,salesandservicesandfood,finance,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,138,0,1,middle atlantic division,new york,1,20320876,37.242645
9005,118,55000,55000,55000,female,34,4 years of college,16,biology and life sciences,40,nhwhite,0,0,0,1,office,professional,0,1,0,0,0,0,1,0,rented,0,public/employer,0,60,0,1,west south central div,texas,1,7400479,31.686863
9006,72,102000,60000,60000,male,61,grade 12,12,n/a,40,nhwhite,1,0,0,2,transportation,transportation,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,40,0,1,east north central div,ohio,1,703505,29.38101
9008,134,64000,42000,42000,male,36,2 years of college,14,n/a,45,nhwhite,1,0,0,2,salesandservicesandfood,retailtrade,0,0,0,0,0,0,0,1,rented,0,public/employer,0,15,0,1,west north central div,iowa,0,,
9011,39,23000,23000,23000,female,53,2 years of college,14,n/a,45,nhblack,0,0,0,1,businessfinance,health,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,15,0,1,east south central div,alabama,1,373889,26.374397
9012,31,195000,115000,115000,male,37,5+ years of college,18,liberal arts and humanities,55,nhwhite,1,3,2,5,businessfinance,professional,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,20,1,1,pacific division,california,1,13353907,31.398245
9013,186,62800,20800,20800,male,29,grade 12,12,n/a,40,nhwhite,0,0,0,2,manufandinstallation,finance,0,0,0,0,0,0,0,0,rented,0,public/employer,0,20,0,1,south atlantic division,south carolina,1,895923,26.278257
9014,124,92000,92000,92000,male,42,4 years of college,16,engineering,40,nhother,0,0,0,2,businessfinance,professional,0,0,0,0,1,0,1,0,rented,0,public/employer,0,5,0,1,middle atlantic division,new jersey,1,20320876,37.242645
9015,134,84000,41000,41000,male,31,1 year of college,13,n/a,40,hispanic,1,2,1,4,businessfinance,transportation,0,0,0,1,0,0,0,1,owned or being bought (loan),1,public/employer,0,30,0,1,pacific division,california,1,156890,13.650599
9016,97,100000,58000,60000,female,43,5+ years of college,18,psychology,40,nhwhite,1,2,0,4,businessfinance,health,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,5,0,1,middle atlantic division,pennsylvania,0,,
9017,204,398000,398000,398000,male,40,5+ years of college,18,social sciences,60,nhasian,0,2,0,3,health,health,0,0,0,0,0,0,1,0,rented,0,public/employer,0,30,1,1,east north central div,ohio,1,2058844,28.843008
9018,287,38900,38900,38900,female,53,1 year of college,13,n/a,50,nhblack,0,0,0,1,businessfinance,professional,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,0,0,1,mountain division,arizona,1,4737270,28.396246
9022,55,120500,60000,60000,female,40,4 years of college,16,medical and health sciences and services,40,nhwhite,1,2,0,4,health,education,0,0,0,0,0,0,0,1,rented,0,public/employer,0,15,0,1,south atlantic division,virginia,1,1724388,28.979176
9028,96,66600,33800,33800,female,60,4 years of college,16,business,40,nhwhite,1,0,0,2,office,finance,0,1,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,20,0,1,west north central div,nebraska,1,934184,33.472443
9029,59,36000,36000,36000,female,36,4 years of college,16,education administration and teaching,40,nhwhite,0,0,0,1,educationlibrary,education,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,5,0,1,west south central div,oklahoma,0,,
9031,62,110000,60000,60000,male,32,2 years of college,14,n/a,50,nhwhite,1,2,0,4,protection,military,1,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,35,0,1,pacific division,california,1,173679,15.833163
9035,79,48000,48000,48000,male,32,1 year of college,13,n/a,48,nhwhite,0,0,0,2,transportation,manufacture,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,15,0,1,pacific division,california,1,464493,12.54614
9038,159,428800,424000,428800,male,61,4 years of college,16,business,60,nhwhite,1,0,0,2,businessfinance,manufacture,0,1,0,0,0,0,0,1,rented,0,public/employer,0,15,0,1,east north central div,michigan,1,1059113,30.915068
9039,136,95000,45000,45000,male,37,1 year of college,13,n/a,50,nhwhite,1,2,0,4,salesandservicesandfood,wholesaletrade,0,0,0,0,0,0,0,1,rented,0,public/employer,0,45,0,1,south atlantic division,north carolina,1,2525305,32.911201
9040,64,60000,60000,60000,male,54,4 years of college,16,business,40,nhwhite,0,0,0,1,office,transportation,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,15,0,1,middle atlantic division,new york,1,1136856,30.23403
9041,66,105000,100000,105000,male,64,4 years of college,16,business,50,nhwhite,0,0,0,2,salesandservicesandfood,wholesaletrade,0,0,0,0,0,0,1,0,owned or being bought (loan),1,individual only,0,0,0,1,south atlantic division,north carolina,1,667733,24.303152
9042,123,71500,58000,58000,male,51,grade 12,12,n/a,50,nhwhite,1,2,0,4,businessfinance,construction,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,25,0,1,south atlantic division,georgia,0,,
9043,62,107000,56000,56000,female,41,5+ years of college,18,biology and life sciences,55,nhwhite,1,0,0,2,educationlibrary,education,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,27,0,1,mountain division,colorado,1,2888227,40.913242
9046,66,50000,50000,50000,male,39,grade 12,12,n/a,70,nhwhite,0,0,0,1,manufandinstallation,otherservices,0,1,0,0,0,0,1,0,rented,0,public/employer,0,60,0,1,east north central div,indiana,1,2027059,33.014378
9051,50,43410,30000,30000,male,34,2 years of college,14,n/a,72,nhblack,1,2,1,4,construction,professional,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,7,0,1,west south central div,texas,1,7400479,31.686863
9052,106,84150,80000,84000,female,42,2 years of college,14,n/a,45,hispanic,0,1,0,2,health,health,1,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,30,1,1,west south central div,texas,1,842677,20.261576
9054,100,124000,72000,72000,female,62,grade 12,12,n/a,45,nhwhite,1,0,0,2,health,health,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,4,0,1,middle atlantic division,new york,0,,
9056,71,83000,50000,50000,male,27,5+ years of college,18,theology and religious vocations,40,nhwhite,1,1,1,3,social,otherservices,0,1,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,7,0,1,west south central div,texas,1,7400479,31.686863
9059,149,58000,58000,58000,male,50,1 year of college,13,n/a,45,nhwhite,0,0,0,1,salesandservicesandfood,wholesaletrade,0,0,0,0,0,0,1,0,rented,0,public/employer,0,5,0,1,east south central div,tennessee,0,,
9060,147,126000,25000,25000,female,24,1 year of college,13,n/a,40,nhwhite,0,0,0,5,health,health,0,0,0,0,0,0,0,0,owned or being bought (loan),1,public/employer,0,5,0,1,east north central div,illinois,1,9533895,35.037014
9061,36,36500,36000,36000,male,38,grade 12,12,n/a,80,nhwhite,1,1,0,3,manufandinstallation,ruralextraction,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,90,0,1,east north central div,ohio,0,,
9064,73,171000,86000,86000,female,33,5+ years of college,18,biology and life sciences,40,nhwhite,1,0,0,2,health,health,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,35,0,1,middle atlantic division,new jersey,1,20320876,37.242645
9065,75,101500,56000,56000,female,27,4 years of college,16,fine arts,45,nhwhite,1,0,0,2,artsrecreationmedia,retailtrade,0,0,0,1,0,0,0,1,rented,0,public/employer,0,40,0,1,middle atlantic division,pennsylvania,1,6096120,35.061737
9066,292,145000,76000,100000,male,57,4 years of college,16,engineering,60,nhwhite,1,1,0,3,salesandservicesandfood,professional,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,20,0,1,east south central div,tennessee,1,1904226,33.303417
9067,347,145000,45000,45000,female,50,grade 12,12,n/a,40,nhwhite,1,0,0,2,manufandinstallation,retailtrade,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,40,0,1,east north central div,indiana,1,1293722,26.901787
9069,107,95000,40000,40000,female,33,grade 12,12,n/a,40,nhwhite,1,2,1,4,businessfinance,finance,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,25,0,1,south atlantic division,north carolina,1,761184,26.754669
9075,34,41500,41500,41500,female,47,5+ years of college,18,education administration and teaching,45,nhwhite,0,0,0,1,educationlibrary,education,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,5,0,1,west north central div,missouri,0,,
9076,19,165000,165000,165000,male,43,4 years of college,16,engineering,45,nhwhite,1,1,1,3,csmathengineering,professional,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,75,0,1,west south central div,texas,1,2115827,40.612038
9077,47,100000,100000,100000,male,42,grade 12,12,n/a,40,nhwhite,1,2,1,4,ruralextraction,hospitality,0,0,0,0,0,0,1,0,owned or being bought (loan),1,individual only,0,30,0,1,south atlantic division,north carolina,0,,
9078,268,52800,33000,33000,female,40,grade 12,12,n/a,40,hispanic,0,3,0,5,office,health,0,0,0,0,0,0,0,0,owned or being bought (loan),1,individual only,0,15,0,1,south atlantic division,florida,1,6158824,29.833658
